gender hair.cost tv hemisphere birth.month labour.cost travel.time transport satisf study.area
female 200 No Southern December 40 50 Bus 9 Other
male 15 Yes Northern December 30 55 Train/Bus 7 Other
female 35 No Southern July 99999909 90 Bus 6 Engineer
male 8 No Southern November 10 90 Train/Bus 7 LifeSciences
male 20 No Southern June 7500 30 Bus 9 Aviation
female 30 No Southern December 20 0 Other 8 SocialSciences
female 35 No Northern February 50 1 Walking 7 SocialSciences
female 50 No Southern June 15 15 Bus 7 LifeSciences
female 100 No Southern February 35 120 Train/Bus 8 Science
female 50 No Southern September 100 2 Walking 8 LifeSciences
female 45 No Northern June 60 3 Walking 8 LifeSciences
female 30 Yes Southern March 1000 90 Car/Train/Bus 7 Other
male 15 No Southern November 30 10 Bicycle 5 LifeSciences
male 10 No Northern September 30 90 Train/Bus 8 Commerce
female 15 Yes Southern March 35 45 Train/Bus 6 LifeSciences
male 12 No Southern December 50 90 Train/Bus 7 LifeSciences
female 15 No Southern June 400 90 Car/Train/Bus 8 Medicine
female 20 No Southern October 30 60 Bus 7 Other
female 120 Yes Northern October 200 90 Car/Train/Bus 7 Medicine
female 30 No Southern May 10 90 Train/Bus 4 SocialSciences
male 15 No Southern January 50 120 Train/Bus 8 Commerce
female 70 No Southern November 50 5 Walking 10 Medicine
female 18 Yes Southern March 20 50 Car/Train/Bus 9 LifeSciences
male 10 No Southern September 50 5 Walking 8 Science
female 73 Yes Northern July 38 30 Bus 9 Medicine
female 25 No Southern November 30 90 Car/Train/Bus 6 Medicine
female 120 No Northern December 70 2 Walking 7 LifeSciences
female 17 Yes Southern November 50 100 Train/Bus 8 SocialSciences
female 50 No Northern June 400 15 Bus 8 Other
male 18 No Southern October 30 75 Train/Bus 8 Commerce
female 3 No Southern October 10 5 Walking 8 LifeSciences
female 30 No Southern July 25 75 Car/Train/Bus 9 LifeSciences
male 20 No Northern October 35 25 Bus 10 SocialSciences
male 0 No Northern September 50 10 Bus 9 Other
male 20 Yes Southern March 50 90 Car/Train/Bus 10 Medicine
female 30 No Southern June 50 10 Walking 8 LifeSciences
male 0 No Northern December 200 15 Motorbike 7 Other
male 45 No Southern March 100 60 Motorbike 7 Aviation
male 9 No Southern April 30 60 Train/Bus 8 Aviation
female 30 No Southern November 10 50 Train/Bus 9 LifeSciences
female 150 No Northern January 9999 60 Train/Bus 10 LifeSciences
female 80 No Southern September 30 40 Train/Bus 8 Science
male 29 Yes Southern June 20 0 Other 9 LifeSciences
female 35 No Northern September 35 60 Car/Train/Bus 6 LifeSciences
male 60 No Southern August 20 80 Car/Train/Bus 7 Science
female 50 No Southern August 40 60 Train/Bus 9 LifeSciences
female 150 No Southern September 20 0 Other 9 Science
male 25 No Northern October 25 15 Walking 8 LifeSciences
female 25 No Southern January 40 40 Bus 10 LifeSciences
male 20 No Northern August 30 5 Walking 7 LifeSciences
male 20 Yes Southern January 20 100 Train/Bus 8 Science
female 17 No Southern January 20 20 Walking 5 LifeSciences
male 23 No Southern April 15 60 Train/Bus 10 Commerce
female 65 No Southern May 30 120 Bus 8 Medicine
female 64 No Northern August 400 75 Bus 10 Science
female 45 No Southern August 30 70 Car/Train/Bus 7 LifeSciences
female 50 No Northern November 50 3 Walking 8 Science
female 25 No Southern August 50 60 Train/Bus 9 Commerce
male 10 No Northern November 50 10 Walking 8 Science
female 50 No Southern October 23 1 Walking 8 Other
female 60 No Northern November 40 30 Bus 8 Aviation
male 0 No Southern April 23 0 Walking 6 LifeSciences
female 110 Yes Southern April 30 2 Walking 8 LifeSciences
male 30 No Southern September 1000 90 Car 10 Medicine
female 25 No Northern November 50 90 Train/Bus 7 LifeSciences
female 20 Yes Southern March 80 60 Train/Bus 8 Commerce
male 12 No Southern November 15 60 Car/Train/Bus 7 LifeSciences
female 17 No Southern May 10 90 Car/Train/Bus 8 SocialSciences
male 250 No Northern December 20 30 Bus 7 Science
male 25 Yes Southern March 50 90 Car/Train/Bus 7 Science
male 15 No Southern October 190 75 Other 9 LifeSciences
female 30 No Southern March 30 100 Train/Bus 8 Medicine
male 12 No Northern May 20 5 Walking 7 Medicine
female 65 No Southern June 20 5 Walking 7 LifeSciences
female 20 No Southern January 20 5 Walking 5 Science
male 20 No Northern December 30 5 Walking 8 Aviation
male 22 No Southern February 50000 70 Car/Train/Bus 7 SocialSciences
female 50 Yes Southern October 60 100 Train/Bus 9 Medicine
male 180 No Northern February 1000 20 Walking 8 Aviation
male 30 No Southern September 30 45 Car 7 LifeSciences
male 22 No Southern June 30 110 Car/Train/Bus 8 Science
male 40 No Northern November 65 25 Bus 7 LifeSciences
female 0 Yes Southern May 250 40 Car 8 LifeSciences
male 15 No Northern August 10 5 Walking 8 Science
female 25 Yes Southern August 25 60 Train/Bus 8 LifeSciences
female 7 No Southern August 180 90 Train/Bus 8 Commerce
female 30 No Southern April 30 15 Bus 8 Medicine
male 15 No Southern February 50 60 Train/Bus 5 Medicine
male 35 No Southern May 40 25 Walking 9 Medicine
female 120 No Northern May 50 5 Walking 9 Medicine
female 30 No Southern April 35 75 Car/Train/Bus 8 LifeSciences
female 75 No Northern April 40 10 Walking 7 Other
female 15 No Southern July 300 100 Bus 8 Engineer
female 75 No Southern May 75 5 Walking 6 LifeSciences
female 20 No Southern August 20 0 Walking 8 Medicine
male 18 Yes Southern June 50 20 Bus 7 Aviation
male 25 No Northern February 10 3 Train/Bus 9 Aviation
male 15 Yes Northern December 20 15 Walking 8 SocialSciences
male 45 No Northern February 20 25 Walking 9 Aviation
female 20 No Southern June 40 20 Bus 5 SocialSciences
female 35 Yes Southern May 40 60 Car 7 Commerce
male 20 Yes Southern October 25 15 Walking 6 LifeSciences
male 28 Yes Southern June 30 60 Car 8 LifeSciences
female 10 No Southern January 50 60 Car 8 Commerce
female 25 No Southern November 20 0 Walking 9 Science
male 25 No Southern October 20 180 Train/Bus 9 LifeSciences
male 20 Yes Southern March 25 50 Train/Bus 10 Medicine
female 0 No Southern June 25 60 Train/Bus 6 LifeSciences
female 30 No Southern September 200 90 Train/Bus 7 LifeSciences
male 20 Yes Northern April 20 60 Train/Bus 8 LifeSciences
male 10 No Southern November 15 0 Walking 9 Science
female 10 No Southern January 100 10 Bus 4 LifeSciences
female 99 No Northern July 50 90 Train/Bus 9 Science
male 18 No Southern June 15 70 Train/Bus 8 Medicine
male 15 No Southern December 22 80 Train/Bus 8 Science
female 15 No Southern November 150 7 Car 7 Medicine
female 45 No Southern April 100 45 Bus 9 Medicine
female 30 No Southern March 50 50 Train/Bus 8 Medicine
female 80 No Southern April 40 20 Bus 4 LifeSciences
male 22 Yes Northern November 50 75 Train/Bus 7 Other
female 55 No Southern December 18 50 Car 6 LifeSciences
female 25 No Southern November 30 90 Car/Train/Bus 7 Medicine
female 30 No Southern August 300 90 Train/Bus 8 SocialSciences
male 30 No Northern September 100 90 Train/Bus 7 Commerce
male 20 No Southern August 50 60 Car/Train/Bus 8 Commerce
female 10 No Southern April 50 60 Train/Bus 7 LifeSciences
male 20 No Southern May 100 2 Walking 9 Engineer
female 125 Yes Southern November 100 130 Train/Bus 5 Medicine
male 10 No Northern September 18 20 Walking 6 Aviation
female 20 Yes Northern October 50 60 Car/Train/Bus 7 Medicine
female 20 No Southern May 35 75 Car/Train/Bus 8 Medicine
male 15 Yes Southern April 40 80 Car 7 Science
female 55 Yes Southern June 30 20 Bus 8 Medicine
male 15 No Southern July 200 10 Walking 9 Commerce
female 30 No Southern April 30 80 Bus 9 Medicine
male 55 Yes Southern May 120 60 Train/Bus 8 Other
female 25 No Southern March 90 40 Bus 9 Medicine
female 0 No Northern December 100 30 Bus 8 Aviation
female 3 No Southern January 40 90 Train/Bus 9 Aviation
female 15 No Northern April 40 15 Walking 8 Science
male 18 No Southern November 45 80 Train/Bus 8 LifeSciences
female 60 No Southern December 20 65 Car/Train/Bus 10 LifeSciences
female 30 No Southern February 20 90 Car/Train/Bus 9 LifeSciences
female 25 No Northern July 100 0 Walking 8 Engineer
male 25 No Southern July 1000 20 Car 7 Medicine
male 22 No Southern December 40 55 Car/Train/Bus 7 LifeSciences
female 40 No Southern August 30 75 Bus 8 Other
female 12 No Southern May 20 120 Train/Bus 7 LifeSciences
male 20 Yes Southern May 15 0 Walking 8 Commerce
male 10 No Southern May 30 65 Other 7 Commerce
male 0 No Southern March 25 45 Bus 8 LifeSciences
female 20 No Southern November 30 60 Train/Bus 7 Science
male 30 No Southern May 40 45 Car 10 Science
female 27 No Southern March 20 15 Walking 9 Medicine
male 25 Yes Southern June 800 10 Bus 6 Science
female 90 Yes Southern July 20 3 Walking 5 LifeSciences
male 15 No Southern August 99999999 75 Train/Bus 7 Science
female 110 No Southern July 50 50 Train/Bus 8 LifeSciences
male 30 No Northern October 200 30 Bus 7 Aviation
male 10 No Southern December 20 120 Train/Bus 9 Commerce
male 22 Yes Southern December 50000000 100 Train/Bus 8 Science
male 18 No Southern November 30 90 Car/Train/Bus 9 LifeSciences
female 21 No Southern August 50 90 Car/Train/Bus 8 Engineer
male 15 No Southern August 40 10 Walking 9 Engineer
male 25 No Northern January 100 30 Walking 9 Aviation
female 65 No Southern February 20 0 Other 10 LifeSciences
female 35 No Southern August 30 15 Bus 7 Science
male 15 Yes Southern January 30 100 Train/Bus 9 Commerce
female 90 No Southern July 25 45 Bus 8 LifeSciences
male 20 No Southern August 30 50 Train/Bus 8 Commerce
male 12 No Southern November 20 0 Walking 9 Commerce
male 8 Yes Southern January 5 0 Other 10 LifeSciences
female 15 No Southern December 50 70 Train/Bus 7 LifeSciences
male 27 Yes Southern July 20 1 Train/Bus 9 Aviation
male 15 No Southern November 30 95 Car/Train/Bus 8 Aviation
female 50 No Southern August 30 1.2 Bus 7 LifeSciences
male 15 No Southern January 25 120 Train/Bus 8 Other
male 20 No Southern January 50 60 Train/Bus 9 Science
female 22 No Northern July 100 25 Bus 7 Aviation
male 10 No Northern November 50 100 Car/Train/Bus 8 Science
female 15 No Southern August 10000000 15 Bus 10 Medicine
female 100 No Southern January 100 135 Train/Bus 5 Science
female 100 No Northern December 2 15 Bus 5 Science
male 42 No Southern June 25 10 Walking 9 Medicine
male 20 No Northern July 200 1 Walking 8 Aviation
male 69 No Southern May 69 69 Train/Bus 10 Other
male 12 No Northern January 20 25 Bus 8 Aviation
female 110 No Southern February 120 90 Car 7 Other
female 30 No Southern November 40 90 Car/Train/Bus 9 LifeSciences
male 40 Yes Southern June 200 60 Train/Bus 8 SocialSciences
female 70 No Southern July 19 5 Walking 8 LifeSciences
male 30 Yes Southern November 50 89 Other 7 Aviation
male 25 No Northern February 10 0 Other 8 LifeSciences
female 30 No Southern May 15 2 Walking 9 LifeSciences
female 75 No Southern September 15 100 Car/Train/Bus 8 Science
male 25 Yes Southern September 50 80 Car/Train/Bus 7 LifeSciences
male 25 No Southern March 15 75 Train/Bus 8 LifeSciences
male 10 No Northern October 19 10 Walking 10 Engineer
female 90 No Southern June 35 30 Other 6 LifeSciences
male 25 No Southern August 40 90 Bus 7 Other
male 250 No Southern September 500 150 Train/Bus 5 Aviation
female 5 No Southern February 40 70 Train/Bus 7 Science
male 20 Yes Southern June 30 10 Car 8 LifeSciences
male 35 Yes Southern January 50 20 Other 7 Science
male 30 No Northern July 50 165 Train/Bus 9 LifeSciences
female 15 No Southern September 50 10 Walking 6 Aviation
male -5 No Southern July 30 20 Walking 10 Aviation
male 20 Yes Southern January 50 5 Car 7 Medicine
male 20 Yes Southern August 25 50 Train/Bus 9 LifeSciences
female 50 No Southern June 250 90 Train/Bus 9 LifeSciences
female 30 No Southern January 50 40 Car/Train/Bus 10 LifeSciences
female 70 No Southern May 20 10 Walking 8 LifeSciences
male 10 No Northern September 15 90 Train/Bus 9 Medicine
male 75 No Southern August 50 10 Walking 8 Aviation
male 25 No Northern April 20 5 Walking 7 Aviation
female 214 No Southern April 100 5 Walking 6 Aviation
female 35 No Southern July 28 50 Bus 8 LifeSciences
female 50 No Northern June 100 10 Bus 9 Aviation
male 0 No Southern November 25 40 Bus 8 LifeSciences
male 25 No Northern August 25 25 Car 8 Commerce
female 90 No Northern July 100 125 Bus 8 Engineer
female 45 No Northern November 75 25 Bus 8 Science
male 10 No Northern November 50 15 Walking 8 Engineer
male 20 No Northern April 150 40 Bus 6 LifeSciences
male 15 No Southern March 50 80 Train/Bus 9 Medicine
female 20 No Northern July 100 15 Walking 5 SocialSciences
male 28 Yes Southern December 150 30 Motorbike 8 Medicine
male 20 Yes Southern June 10 90 Train/Bus 9 Medicine
male 22 No Northern March 0 40 Train/Bus 9 LifeSciences
male 0 No Southern May 20 90 Bus 9 Medicine
male 30 No Southern June 25 60 Bus 8 Aviation
female 199 Yes Southern September 50 120 Train/Bus 9 Commerce
male 15 No Southern August 30 120 Train/Bus 9 Science
male 15 Yes Northern September 20 90 Bus 10 Medicine
male 25 No Southern April 30 90 Other 9 SocialSciences
female 75 No Southern October 20 60 Car/Train/Bus 6 Science
female 25 No Northern March 100 10 Walking 7 Aviation
female 85 No Northern December 50 15 Bus 8 Aviation
female 0 No Southern October 30 80 Car/Train/Bus 9 Science
male 20 No Southern January 25 45 Bus 7 LifeSciences
male 25 No Southern June 100 90 Train/Bus 9 LifeSciences
male 40 Yes Southern June 20 60 Bus 9 Medicine
