gender hair.cost tv hemisphere birth.month labour.cost travel.time transport satisf study.area missingLabour trimmedLabour
female 30 No Southern June 50 10 Walking 8 LifeSciences 50 50
male 0 No Northern December 200 15 Motorbike 7 Other 200 200
male 45 No Southern March 100 60 Motorbike 7 Aviation 100 100
male 9 No Southern April 30 60 Train/Bus 8 Aviation 30 30
female 30 No Southern November 10 50 Train/Bus 9 LifeSciences 10 10
female 150 No Northern January 9999 60 Train/Bus 10 LifeSciences NA 1000
female 80 No Southern September 30 40 Train/Bus 8 Science 30 30
male 29 Yes Southern June 20 0 Other 9 LifeSciences 20 20
female 35 No Northern September 35 60 Car/Train/Bus 6 LifeSciences 35 35
male 60 No Southern August 20 80 Car/Train/Bus 7 Science 20 20
female 50 No Southern August 40 60 Train/Bus 9 LifeSciences 40 40
female 150 No Southern September 20 0 Other 9 Science 20 20
male 25 No Northern October 25 15 Walking 8 LifeSciences 25 25
female 25 No Southern January 40 40 Bus 10 LifeSciences 40 40
male 20 No Northern August 30 5 Walking 7 LifeSciences 30 30
male 20 Yes Southern January 20 100 Train/Bus 8 Science 20 20
female 17 No Southern January 20 20 Walking 5 LifeSciences 20 20
male 23 No Southern April 15 60 Train/Bus 10 Commerce 15 15
female 65 No Southern May 30 120 Bus 8 Medicine 30 30
female 64 No Northern August 400 75 Bus 10 Science 400 400
female 45 No Southern August 30 70 Car/Train/Bus 7 LifeSciences 30 30
female 50 No Northern November 50 3 Walking 8 Science 50 50
female 25 No Southern August 50 60 Train/Bus 9 Commerce 50 50
male 10 No Northern November 50 10 Walking 8 Science 50 50
female 50 No Southern October 23 1 Walking 8 Other 23 23
female 60 No Northern November 40 30 Bus 8 Aviation 40 40
male 0 No Southern April 23 0 Walking 6 LifeSciences 23 23
female 110 Yes Southern April 30 2 Walking 8 LifeSciences 30 30
male 30 No Southern September 1000 90 Car 10 Medicine 1000 1000
female 25 No Northern November 50 90 Train/Bus 7 LifeSciences 50 50
female 20 Yes Southern March 80 60 Train/Bus 8 Commerce 80 80
male 12 No Southern November 15 60 Car/Train/Bus 7 LifeSciences 15 15
female 17 No Southern May 10 90 Car/Train/Bus 8 SocialSciences 10 10
male 250 No Northern December 20 30 Bus 7 Science 20 20
male 25 Yes Southern March 50 90 Car/Train/Bus 7 Science 50 50
male 15 No Southern October 190 75 Other 9 LifeSciences 190 190
female 30 No Southern March 30 100 Train/Bus 8 Medicine 30 30
male 12 No Northern May 20 5 Walking 7 Medicine 20 20
female 65 No Southern June 20 5 Walking 7 LifeSciences 20 20
female 20 No Southern January 20 5 Walking 5 Science 20 20
male 20 No Northern December 30 5 Walking 8 Aviation 30 30
male 22 No Southern February 50000 70 Car/Train/Bus 7 SocialSciences NA 1000
female 50 Yes Southern October 60 100 Train/Bus 9 Medicine 60 60
male 180 No Northern February 1000 20 Walking 8 Aviation 1000 1000
male 30 No Southern September 30 45 Car 7 LifeSciences 30 30
male 22 No Southern June 30 110 Car/Train/Bus 8 Science 30 30
male 40 No Northern November 65 25 Bus 7 LifeSciences 65 65
female 0 Yes Southern May 250 40 Car 8 LifeSciences 250 250
male 15 No Northern August 10 5 Walking 8 Science 10 10
female 25 Yes Southern August 25 60 Train/Bus 8 LifeSciences 25 25
female 7 No Southern August 180 90 Train/Bus 8 Commerce 180 180
female 30 No Southern April 30 15 Bus 8 Medicine 30 30
male 15 No Southern February 50 60 Train/Bus 5 Medicine 50 50
male 35 No Southern May 40 25 Walking 9 Medicine 40 40
female 120 No Northern May 50 5 Walking 9 Medicine 50 50
female 30 No Southern April 35 75 Car/Train/Bus 8 LifeSciences 35 35
female 75 No Northern April 40 10 Walking 7 Other 40 40
female 15 No Southern July 300 100 Bus 8 Engineer 300 300
female 75 No Southern May 75 5 Walking 6 LifeSciences 75 75
female 20 No Southern August 20 0 Walking 8 Medicine 20 20
male 18 Yes Southern June 50 20 Bus 7 Aviation 50 50
male 25 No Northern February 10 3 Train/Bus 9 Aviation 10 10
male 15 Yes Northern December 20 15 Walking 8 SocialSciences 20 20
male 45 No Northern February 20 25 Walking 9 Aviation 20 20
female 20 No Southern June 40 20 Bus 5 SocialSciences 40 40
female 35 Yes Southern May 40 60 Car 7 Commerce 40 40
male 20 Yes Southern October 25 15 Walking 6 LifeSciences 25 25
male 28 Yes Southern June 30 60 Car 8 LifeSciences 30 30
female 10 No Southern January 50 60 Car 8 Commerce 50 50
female 25 No Southern November 20 0 Walking 9 Science 20 20
male 25 No Southern October 20 180 Train/Bus 9 LifeSciences 20 20
male 20 Yes Southern March 25 50 Train/Bus 10 Medicine 25 25
female 0 No Southern June 25 60 Train/Bus 6 LifeSciences 25 25
female 30 No Southern September 200 90 Train/Bus 7 LifeSciences 200 200
male 20 Yes Northern April 20 60 Train/Bus 8 LifeSciences 20 20
male 10 No Southern November 15 0 Walking 9 Science 15 15
female 10 No Southern January 100 10 Bus 4 LifeSciences 100 100
female 99 No Northern July 50 90 Train/Bus 9 Science 50 50
male 18 No Southern June 15 70 Train/Bus 8 Medicine 15 15
male 15 No Southern December 22 80 Train/Bus 8 Science 22 22
female 15 No Southern November 150 7 Car 7 Medicine 150 150
female 45 No Southern April 100 45 Bus 9 Medicine 100 100
female 30 No Southern March 50 50 Train/Bus 8 Medicine 50 50
female 80 No Southern April 40 20 Bus 4 LifeSciences 40 40
male 22 Yes Northern November 50 75 Train/Bus 7 Other 50 50
female 55 No Southern December 18 50 Car 6 LifeSciences 18 18
female 25 No Southern November 30 90 Car/Train/Bus 7 Medicine 30 30
female 30 No Southern August 300 90 Train/Bus 8 SocialSciences 300 300
male 30 No Northern September 100 90 Train/Bus 7 Commerce 100 100
male 20 No Southern August 50 60 Car/Train/Bus 8 Commerce 50 50
female 10 No Southern April 50 60 Train/Bus 7 LifeSciences 50 50
male 20 No Southern May 100 2 Walking 9 Engineer 100 100
female 125 Yes Southern November 100 130 Train/Bus 5 Medicine 100 100
male 10 No Northern September 18 20 Walking 6 Aviation 18 18
female 20 Yes Northern October 50 60 Car/Train/Bus 7 Medicine 50 50
female 20 No Southern May 35 75 Car/Train/Bus 8 Medicine 35 35
male 15 Yes Southern April 40 80 Car 7 Science 40 40
female 55 Yes Southern June 30 20 Bus 8 Medicine 30 30
male 15 No Southern July 200 10 Walking 9 Commerce 200 200
female 30 No Southern April 30 80 Bus 9 Medicine 30 30
male 55 Yes Southern May 120 60 Train/Bus 8 Other 120 120
female 25 No Southern March 90 40 Bus 9 Medicine 90 90
female 0 No Northern December 100 30 Bus 8 Aviation 100 100
female 3 No Southern January 40 90 Train/Bus 9 Aviation 40 40
female 15 No Northern April 40 15 Walking 8 Science 40 40
male 18 No Southern November 45 80 Train/Bus 8 LifeSciences 45 45
female 60 No Southern December 20 65 Car/Train/Bus 10 LifeSciences 20 20
female 30 No Southern February 20 90 Car/Train/Bus 9 LifeSciences 20 20
female 25 No Northern July 100 0 Walking 8 Engineer 100 100
male 25 No Southern July 1000 20 Car 7 Medicine 1000 1000
male 22 No Southern December 40 55 Car/Train/Bus 7 LifeSciences 40 40
female 40 No Southern August 30 75 Bus 8 Other 30 30
female 12 No Southern May 20 120 Train/Bus 7 LifeSciences 20 20
male 20 Yes Southern May 15 0 Walking 8 Commerce 15 15
male 10 No Southern May 30 65 Other 7 Commerce 30 30
male 0 No Southern March 25 45 Bus 8 LifeSciences 25 25
female 20 No Southern November 30 60 Train/Bus 7 Science 30 30
male 30 No Southern May 40 45 Car 10 Science 40 40
female 27 No Southern March 20 15 Walking 9 Medicine 20 20
male 25 Yes Southern June 800 10 Bus 6 Science 800 800
female 90 Yes Southern July 20 3 Walking 5 LifeSciences 20 20
male 15 No Southern August 99999999 75 Train/Bus 7 Science NA 1000
female 110 No Southern July 50 50 Train/Bus 8 LifeSciences 50 50
male 30 No Northern October 200 30 Bus 7 Aviation 200 200
male 10 No Southern December 20 120 Train/Bus 9 Commerce 20 20
male 22 Yes Southern December 50000000 100 Train/Bus 8 Science NA 1000
male 18 No Southern November 30 90 Car/Train/Bus 9 LifeSciences 30 30
female 21 No Southern August 50 90 Car/Train/Bus 8 Engineer 50 50
male 15 No Southern August 40 10 Walking 9 Engineer 40 40
male 25 No Northern January 100 30 Walking 9 Aviation 100 100
female 65 No Southern February 20 0 Other 10 LifeSciences 20 20
female 35 No Southern August 30 15 Bus 7 Science 30 30
male 15 Yes Southern January 30 100 Train/Bus 9 Commerce 30 30
female 90 No Southern July 25 45 Bus 8 LifeSciences 25 25
male 20 No Southern August 30 50 Train/Bus 8 Commerce 30 30
male 12 No Southern November 20 0 Walking 9 Commerce 20 20
male 8 Yes Southern January 5 0 Other 10 LifeSciences 5 5
female 15 No Southern December 50 70 Train/Bus 7 LifeSciences 50 50
male 27 Yes Southern July 20 1 Train/Bus 9 Aviation 20 20
male 15 No Southern November 30 95 Car/Train/Bus 8 Aviation 30 30
female 50 No Southern August 30 1.2 Bus 7 LifeSciences 30 30
male 15 No Southern January 25 120 Train/Bus 8 Other 25 25
male 20 No Southern January 50 60 Train/Bus 9 Science 50 50
female 22 No Northern July 100 25 Bus 7 Aviation 100 100
male 10 No Northern November 50 100 Car/Train/Bus 8 Science 50 50
female 15 No Southern August 10000000 15 Bus 10 Medicine NA 1000
female 100 No Southern January 100 135 Train/Bus 5 Science 100 100
female 100 No Northern December 2 15 Bus 5 Science 2 2
male 42 No Southern June 25 10 Walking 9 Medicine 25 25
male 20 No Northern July 200 1 Walking 8 Aviation 200 200
male 69 No Southern May 69 69 Train/Bus 10 Other 69 69
male 12 No Northern January 20 25 Bus 8 Aviation 20 20
female 110 No Southern February 120 90 Car 7 Other 120 120
female 30 No Southern November 40 90 Car/Train/Bus 9 LifeSciences 40 40
male 40 Yes Southern June 200 60 Train/Bus 8 SocialSciences 200 200
female 70 No Southern July 19 5 Walking 8 LifeSciences 19 19
male 30 Yes Southern November 50 89 Other 7 Aviation 50 50
male 25 No Northern February 10 0 Other 8 LifeSciences 10 10
female 30 No Southern May 15 2 Walking 9 LifeSciences 15 15
female 75 No Southern September 15 100 Car/Train/Bus 8 Science 15 15
male 25 Yes Southern September 50 80 Car/Train/Bus 7 LifeSciences 50 50
male 25 No Southern March 15 75 Train/Bus 8 LifeSciences 15 15
male 10 No Northern October 19 10 Walking 10 Engineer 19 19
female 90 No Southern June 35 30 Other 6 LifeSciences 35 35
male 25 No Southern August 40 90 Bus 7 Other 40 40
male 250 No Southern September 500 150 Train/Bus 5 Aviation 500 500
female 5 No Southern February 40 70 Train/Bus 7 Science 40 40
male 20 Yes Southern June 30 10 Car 8 LifeSciences 30 30
male 35 Yes Southern January 50 20 Other 7 Science 50 50
male 30 No Northern July 50 165 Train/Bus 9 LifeSciences 50 50
female 15 No Southern September 50 10 Walking 6 Aviation 50 50
male -5 No Southern July 30 20 Walking 10 Aviation 30 30
male 20 Yes Southern January 50 5 Car 7 Medicine 50 50
male 20 Yes Southern August 25 50 Train/Bus 9 LifeSciences 25 25
female 50 No Southern June 250 90 Train/Bus 9 LifeSciences 250 250
female 30 No Southern January 50 40 Car/Train/Bus 10 LifeSciences 50 50
female 70 No Southern May 20 10 Walking 8 LifeSciences 20 20
male 10 No Northern September 15 90 Train/Bus 9 Medicine 15 15
male 75 No Southern August 50 10 Walking 8 Aviation 50 50
male 25 No Northern April 20 5 Walking 7 Aviation 20 20
female 214 No Southern April 100 5 Walking 6 Aviation 100 100
female 35 No Southern July 28 50 Bus 8 LifeSciences 28 28
female 50 No Northern June 100 10 Bus 9 Aviation 100 100
male 0 No Southern November 25 40 Bus 8 LifeSciences 25 25
male 25 No Northern August 25 25 Car 8 Commerce 25 25
female 90 No Northern July 100 125 Bus 8 Engineer 100 100
female 45 No Northern November 75 25 Bus 8 Science 75 75
male 10 No Northern November 50 15 Walking 8 Engineer 50 50
male 20 No Northern April 150 40 Bus 6 LifeSciences 150 150
male 15 No Southern March 50 80 Train/Bus 9 Medicine 50 50
female 20 No Northern July 100 15 Walking 5 SocialSciences 100 100
male 28 Yes Southern December 150 30 Motorbike 8 Medicine 150 150
male 20 Yes Southern June 10 90 Train/Bus 9 Medicine 10 10
male 22 No Northern March 0 40 Train/Bus 9 LifeSciences 0 0
male 0 No Southern May 20 90 Bus 9 Medicine 20 20
male 30 No Southern June 25 60 Bus 8 Aviation 25 25
female 199 Yes Southern September 50 120 Train/Bus 9 Commerce 50 50
male 15 No Southern August 30 120 Train/Bus 9 Science 30 30
male 15 Yes Northern September 20 90 Bus 10 Medicine 20 20
male 25 No Southern April 30 90 Other 9 SocialSciences 30 30
female 75 No Southern October 20 60 Car/Train/Bus 6 Science 20 20
female 25 No Northern March 100 10 Walking 7 Aviation 100 100
female 85 No Northern December 50 15 Bus 8 Aviation 50 50
female 0 No Southern October 30 80 Car/Train/Bus 9 Science 30 30
male 20 No Southern January 25 45 Bus 7 LifeSciences 25 25
male 25 No Southern June 100 90 Train/Bus 9 LifeSciences 100 100
male 40 Yes Southern June 20 60 Bus 9 Medicine 20 20
